0000(0) 0000(0) | GT:0 LT:0 EQ:1
0000(0) 0001(1) | GT:0 LT:1 EQ:0
0000(0) 0010(2) | GT:0 LT:1 EQ:0
0000(0) 0011(3) | GT:0 LT:1 EQ:0
0000(0) 0100(4) | GT:0 LT:1 EQ:0
0000(0) 0101(5) | GT:0 LT:1 EQ:0
0000(0) 0110(6) | GT:0 LT:1 EQ:0
0000(0) 0111(7) | GT:0 LT:1 EQ:0
0000(0) 1000(8) | GT:0 LT:1 EQ:0
0000(0) 1001(9) | GT:0 LT:1 EQ:0
0000(0) 1010(10) | GT:0 LT:1 EQ:0
0000(0) 1011(11) | GT:0 LT:1 EQ:0
0000(0) 1100(12) | GT:0 LT:1 EQ:0
0000(0) 1101(13) | GT:0 LT:1 EQ:0
0000(0) 1110(14) | GT:0 LT:1 EQ:0
0000(0) 1111(15) | GT:0 LT:1 EQ:0
0001(1) 0000(0) | GT:1 LT:0 EQ:0
0001(1) 0001(1) | GT:0 LT:0 EQ:1
0001(1) 0010(2) | GT:0 LT:1 EQ:0
0001(1) 0011(3) | GT:0 LT:1 EQ:0
0001(1) 0100(4) | GT:0 LT:1 EQ:0
0001(1) 0101(5) | GT:0 LT:1 EQ:0
0001(1) 0110(6) | GT:0 LT:1 EQ:0
0001(1) 0111(7) | GT:0 LT:1 EQ:0
0001(1) 1000(8) | GT:0 LT:1 EQ:0
0001(1) 1001(9) | GT:0 LT:1 EQ:0
0001(1) 1010(10) | GT:0 LT:1 EQ:0
0001(1) 1011(11) | GT:0 LT:1 EQ:0
0001(1) 1100(12) | GT:0 LT:1 EQ:0
0001(1) 1101(13) | GT:0 LT:1 EQ:0
0001(1) 1110(14) | GT:0 LT:1 EQ:0
0001(1) 1111(15) | GT:0 LT:1 EQ:0
0010(2) 0000(0) | GT:1 LT:0 EQ:0
0010(2) 0001(1) | GT:1 LT:0 EQ:0
0010(2) 0010(2) | GT:0 LT:0 EQ:1
0010(2) 0011(3) | GT:0 LT:1 EQ:0
0010(2) 0100(4) | GT:0 LT:1 EQ:0
0010(2) 0101(5) | GT:0 LT:1 EQ:0
0010(2) 0110(6) | GT:0 LT:1 EQ:0
0010(2) 0111(7) | GT:0 LT:1 EQ:0
0010(2) 1000(8) | GT:0 LT:1 EQ:0
0010(2) 1001(9) | GT:0 LT:1 EQ:0
0010(2) 1010(10) | GT:0 LT:1 EQ:0
0010(2) 1011(11) | GT:0 LT:1 EQ:0
0010(2) 1100(12) | GT:0 LT:1 EQ:0
0010(2) 1101(13) | GT:0 LT:1 EQ:0
0010(2) 1110(14) | GT:0 LT:1 EQ:0
0010(2) 1111(15) | GT:0 LT:1 EQ:0
0011(3) 0000(0) | GT:1 LT:0 EQ:0
0011(3) 0001(1) | GT:1 LT:0 EQ:0
0011(3) 0010(2) | GT:1 LT:0 EQ:0
0011(3) 0011(3) | GT:0 LT:0 EQ:1
0011(3) 0100(4) | GT:0 LT:1 EQ:0
0011(3) 0101(5) | GT:0 LT:1 EQ:0
0011(3) 0110(6) | GT:0 LT:1 EQ:0
0011(3) 0111(7) | GT:0 LT:1 EQ:0
0011(3) 1000(8) | GT:0 LT:1 EQ:0
0011(3) 1001(9) | GT:0 LT:1 EQ:0
0011(3) 1010(10) | GT:0 LT:1 EQ:0
0011(3) 1011(11) | GT:0 LT:1 EQ:0
0011(3) 1100(12) | GT:0 LT:1 EQ:0
0011(3) 1101(13) | GT:0 LT:1 EQ:0
0011(3) 1110(14) | GT:0 LT:1 EQ:0
0011(3) 1111(15) | GT:0 LT:1 EQ:0
0100(4) 0000(0) | GT:1 LT:0 EQ:0
0100(4) 0001(1) | GT:1 LT:0 EQ:0
0100(4) 0010(2) | GT:1 LT:0 EQ:0
0100(4) 0011(3) | GT:1 LT:0 EQ:0
0100(4) 0100(4) | GT:0 LT:0 EQ:1
0100(4) 0101(5) | GT:0 LT:1 EQ:0
0100(4) 0110(6) | GT:0 LT:1 EQ:0
0100(4) 0111(7) | GT:0 LT:1 EQ:0
0100(4) 1000(8) | GT:0 LT:1 EQ:0
0100(4) 1001(9) | GT:0 LT:1 EQ:0
0100(4) 1010(10) | GT:0 LT:1 EQ:0
0100(4) 1011(11) | GT:0 LT:1 EQ:0
0100(4) 1100(12) | GT:0 LT:1 EQ:0
0100(4) 1101(13) | GT:0 LT:1 EQ:0
0100(4) 1110(14) | GT:0 LT:1 EQ:0
0100(4) 1111(15) | GT:0 LT:1 EQ:0
0101(5) 0000(0) | GT:1 LT:0 EQ:0
0101(5) 0001(1) | GT:1 LT:0 EQ:0
0101(5) 0010(2) | GT:1 LT:0 EQ:0
0101(5) 0011(3) | GT:1 LT:0 EQ:0
0101(5) 0100(4) | GT:1 LT:0 EQ:0
0101(5) 0101(5) | GT:0 LT:0 EQ:1
0101(5) 0110(6) | GT:0 LT:1 EQ:0
0101(5) 0111(7) | GT:0 LT:1 EQ:0
0101(5) 1000(8) | GT:0 LT:1 EQ:0
0101(5) 1001(9) | GT:0 LT:1 EQ:0
0101(5) 1010(10) | GT:0 LT:1 EQ:0
0101(5) 1011(11) | GT:0 LT:1 EQ:0
0101(5) 1100(12) | GT:0 LT:1 EQ:0
0101(5) 1101(13) | GT:0 LT:1 EQ:0
0101(5) 1110(14) | GT:0 LT:1 EQ:0
0101(5) 1111(15) | GT:0 LT:1 EQ:0
0110(6) 0000(0) | GT:1 LT:0 EQ:0
0110(6) 0001(1) | GT:1 LT:0 EQ:0
0110(6) 0010(2) | GT:1 LT:0 EQ:0
0110(6) 0011(3) | GT:1 LT:0 EQ:0
0110(6) 0100(4) | GT:1 LT:0 EQ:0
0110(6) 0101(5) | GT:1 LT:0 EQ:0
0110(6) 0110(6) | GT:0 LT:0 EQ:1
0110(6) 0111(7) | GT:0 LT:1 EQ:0
0110(6) 1000(8) | GT:0 LT:1 EQ:0
0110(6) 1001(9) | GT:0 LT:1 EQ:0
0110(6) 1010(10) | GT:0 LT:1 EQ:0
0110(6) 1011(11) | GT:0 LT:1 EQ:0
0110(6) 1100(12) | GT:0 LT:1 EQ:0
0110(6) 1101(13) | GT:0 LT:1 EQ:0
0110(6) 1110(14) | GT:0 LT:1 EQ:0
0110(6) 1111(15) | GT:0 LT:1 EQ:0
0111(7) 0000(0) | GT:1 LT:0 EQ:0
0111(7) 0001(1) | GT:1 LT:0 EQ:0
0111(7) 0010(2) | GT:1 LT:0 EQ:0
0111(7) 0011(3) | GT:1 LT:0 EQ:0
0111(7) 0100(4) | GT:1 LT:0 EQ:0
0111(7) 0101(5) | GT:1 LT:0 EQ:0
0111(7) 0110(6) | GT:1 LT:0 EQ:0
0111(7) 0111(7) | GT:0 LT:0 EQ:1
0111(7) 1000(8) | GT:0 LT:1 EQ:0
